id,name,historical_booking_count,genre_count,has_musicbrainz_id,has_genre_data,has_lastfm_audience_data,has_artist_popularity
artist_e5be3232ee55514db9d6b448285ecc0c,Vince Giordano and the Nighthawks,72,3,True,True,False,False
artist_5ea2984c7a9c5b5883a0a9a3d5015125,Grand Ole Opry,29,1,False,True,False,False
artist_f5d0bf8b198d565395fd55d24e6f250e,Harry Styles,24,2,False,True,False,False
artist_fcad151fe6b65cddb5749388c526cad5,Jamie xx,24,4,False,True,False,False
artist_49b76d6198745fff97c09bf6f97f3229,Lonnie Plaxico,24,1,False,True,False,False
artist_6e2dce698200511c98ba2d977b1d8965,RUSH,22,2,False,True,False,False
artist_5ec8913fbd0f5770b536ecd5a75b78e1,J. Cole,21,3,False,True,False,False
artist_d4ba0964408a513ba78cd9b76e828eb7,Eliane Elias,20,2,False,True,False,False
artist_9708995083dc5bdda95e3af58b0c61d8,Eric Harland,20,1,False,True,False,False
artist_3811588eab8059d58aac0fe85ef78d89,Ethan Iverson,20,1,False,True,False,False
artist_f7f82a189c0c52c1bb2c1bffd5a3ea9d,Greg Osby,20,1,False,True,False,False
artist_71127abe019d5ed7b71d3a1a2b87ecab,John Pizzarelli,20,1,False,True,False,False
artist_81873c1b04f05f61ab0771ec633a8158,Monty Alexander,20,1,False,True,False,False
artist_bddc2affb9c55a449b7a48f62fdde796,Bill Charlap,19,5,False,True,True,True
artist_13a1092bde0154b5a5c325917cb7196b,Renee Rosnes,19,5,False,True,True,True
artist_0503809a39095a7fb8f9be37570d1939,Noname,18,2,False,True,False,False
artist_c5792fa300035e0aa66f18f1a82051fc,Arturo Sandoval,17,1,False,True,False,False
artist_18465a9b03685719a91f29642767000f,Frank Vignola,17,5,False,True,True,True
artist_55a2839e731451df8e0a6053fa5cb397,Sam Barber,17,2,False,True,False,False
artist_05ef684375d651919208b5b8235beb1e,Chance The Rapper,16,8,False,True,True,True
artist_5c60ba32bd6f5e879801e9d1dd75ac1a,Dogstar,16,2,False,True,False,False
artist_d279a673f0eb5287aa20057dfea9aa3e,Kacey Musgraves,16,6,True,True,True,True
artist_b7827cbf26885ee0aa2c5529a79931ef,Koe Wetzel,16,6,False,True,True,True
artist_00539aa7e2d65a39bb086c3cd36d51cb,Sara Bareilles,16,4,False,True,False,False
artist_deafa6dbad67514c811b2e62fdf85333,Citizen,15,3,False,True,False,False
artist_e2d02492151f5215b914c0380d2508f8,Malcolm Todd,15,4,False,True,False,False
artist_0ef0aa83917e5a93af7385390e1d6669,Olivia Dean,15,8,False,True,True,True
artist_bf7eb308b7ef5ec8841f0450cd3b254a,Chance Peña,14,2,False,True,False,False
artist_42e4da757b4051029894718041ad0cae,Christian McBride,14,1,False,True,False,False
artist_35ddadc6c6bb545db2e46e00310e5a64,Eric Gales,14,2,False,True,False,False
artist_fe5953ce37785fc49a713439868e339e,Hotline TNT,14,4,False,True,False,False
artist_750f8356f3225ce589dcd631f64ce40c,Isaiah Rashad,14,2,False,True,False,False
artist_d8ef0d5770055d5babb61f8aa0850b7d,Yacht Rock Revue,14,2,False,True,True,True
artist_fc0da59246d45e1b8c31f249ff2d7dfc,Angine de Poitrine,13,6,False,True,True,True
artist_dcff7bfd2ada5a4cb0fb1914a0306523,Arlo Parks,13,4,False,True,False,False
artist_b220002b9e5c5a129d5b3a580824bda0,ISOxo,13,2,False,True,False,False
artist_09d4e64976b05d5c92dd1d0b6260774a,Jill Scott,13,4,False,True,False,False
artist_50b8161031135011bd23cfa6cffd2319,Jutes,13,2,False,True,False,False
artist_93bc2a30acec53f49c53711df086beaa,Masego,13,3,False,True,False,False
artist_fc5a9cdada0d5036b0eee1202ff60b3b,Slayr,13,3,True,True,False,False
artist_d30fdcc116fc5dc9b4de850e7c38d038,anees,13,1,True,True,False,False
