id,name,city,state,historical_booking_count,genre_history_count,has_capacity,has_genre_history,has_coordinates,has_resolved_market
venue_31eefdec70fc5096bf6113b193bd1f9a,Mercury Lounge,New York,NY,324,20,True,True,False,True
venue_8ccb4766d80751ef9e810fe4a03c79b2,Birdland Jazz Club,New York,NY,243,2,True,True,False,True
venue_7cba0912c7ce538ebf207c546f35b561,Birdland Theater,New York,NY,167,4,True,True,False,True
venue_892509c4c54a52e9ac5c3131a0748ffa,Blue Note Jazz Club,New York,NY,154,17,True,True,False,True
venue_de84c46f201355799edd42a90bc1acac,Madison Square Garden,New York,NY,148,14,True,True,False,True
venue_2cf82a5316c953a8abca86b10f4f6e4c,The Foundry,Philadelphia,PA,126,16,True,True,False,True
venue_c8a6caa2b0ee5726bcd957ed4815772f,Union Stage,Washington,DC,119,18,True,True,False,True
venue_21650d69c8795480957b40ac202cde80,9:30 CLUB,Washington,DC,116,21,True,True,False,True
venue_f38cdcf8f66c5dd68f1d6be083a42bf4,The Anthem,Washington,DC,116,22,True,True,False,True
venue_569025f1990d55da9953692bc97b64be,The Rooftop at Pier 17,New York,NY,109,25,True,True,False,True
venue_742bad6fda7f583b86ae7832a10d3b5e,The Atlantis,Washington,DC,102,21,True,True,False,True
venue_57588640f8c354b4b1c98865eeb77664,Bowery Ballroom,New York,NY,95,19,True,True,False,True
venue_a92520ce0b0e50e3b23f2863312bb193,MGM Music Hall at Fenway,Boston,MA,89,22,True,True,False,True
venue_ef90d9e3cdac5c6ea4803e847879604e,Brighton Music Hall presented by Citizens,Boston,MA,88,19,True,True,False,True
venue_ad767fe4d06159a2903aa2fedb21c9f9,The Moroccan Lounge,Los Angeles,CA,88,11,True,True,False,True
venue_41403626a1e05c0ea0a12a99284d4d29,Echostage,Washington,DC,84,6,True,True,False,True
venue_0950497125f05c899e92886c7854f8f0,MilkBoy Philadelphia,Philadelphia,PA,83,21,True,True,False,True
venue_a5a6bd021b485f348e3db5455052f9b7,The Fillmore Philadelphia,Philadelphia,PA,83,19,True,True,False,True
venue_ca615294ac9c50e4b64ace1e8ef8f37a,The Masquerade - Purgatory,Atlanta,GA,81,13,True,True,False,True
venue_ea65775386fc592b90704bac950d1ecc,Gramercy Theatre,New York,NY,78,20,True,True,False,True
venue_c1364959355c59f087807bf5a4962904,Citizens House of Blues Boston,Boston,MA,73,23,True,True,False,True
venue_df8f6616124f595cacf8816ee2a46918,Big Night Live,Boston,MA,71,17,True,True,False,True
venue_87281a5b99705e919ea287429e455826,TD Pavilion at Highmark Mann,Philadelphia,PA,71,17,True,True,False,True
venue_0121aad7e422589a894cfc4b1b09230f,Irving Plaza Powered By Verizon 5G,New York,NY,69,18,True,True,False,True
venue_ba8e8c5e8a67508383f3bc4a0f5b16bc,Sony Hall,New York,NY,68,23,True,True,False,True
venue_6bf870bd9c075520b365607670371933,3rd and Lindsley,Nashville,TN,67,9,True,True,False,True
venue_058422887fd25e248c495060df70f518,Aisle 5,Atlanta,GA,67,20,True,True,False,True
venue_f7840311ae5853488667de6989c7e0f0,Paradise Rock Club presented by Citizens,Boston,MA,66,19,True,True,False,True
venue_819cc08886ba5b29841d611e5e1291b4,Midtown Green,Richmond,VA,65,7,False,True,False,True
venue_4362328af880532183f6cf3c3b866993,Nevermore Hall,Baltimore,MD,65,16,True,True,False,True
venue_6f41de1f767357cbafdc0476035535ac,Underground Arts,Philadelphia,PA,65,12,True,True,False,True
venue_b2bd8e0316a95b67ba214ec0b403d84a,Ryman Auditorium,Nashville,TN,62,11,True,True,False,True
venue_9565f8475e295fb08df877d63f680393,The Masquerade - Hell,Atlanta,GA,62,17,True,True,False,True
venue_634b13d711375106b29ee5e61a9ede8b,Brooklyn Bowl Philadelphia,Philadelphia,PA,60,17,True,True,False,True
venue_4fc71f1ade1058a3ad0713a55721b659,Dell Music Center,Philadelphia,PA,60,9,True,True,False,True
venue_c25b4015870c5d10adef719e2316c2ff,The Masquerade - Heaven,Atlanta,GA,60,13,True,True,False,True
venue_d2248be5dc7f502b9d5e7cf62de7fc37,PIEDMONT PARK,Atlanta,GA,59,0,False,False,False,True
venue_82bd575a4587539da9d5b4a17c825cbf,State Farm Arena,Atlanta,GA,59,21,True,True,False,True
venue_1aeba229e07d5791b90971a1a63a0ee2,The Masquerade  - Altar,Atlanta,GA,59,13,True,True,False,True
venue_c29298e61d275dc4af645491a564b681,The Met Presented by Highmark,Philadelphia,PA,59,16,True,True,False,True
venue_35b9ceea16675c47ba9880f11a18cc9e,Blue Note Los Angeles,Los Angeles,CA,56,6,True,True,False,True
venue_74e54e1d00965fdbb32d50204eccaac7,Center Stage Theater,Atlanta,GA,56,20,True,True,False,True
venue_53fae28951be5b0cb4a5e929342f481e,House of Blues Chicago,Chicago,IL,56,10,True,True,False,True
venue_a13b8e45fe9a5718991f2a6c8ea3731e,Leader Bank Pavilion,Boston,MA,56,16,True,True,False,True
venue_70ce83c4dc3958a888cf0a5013c29d68,Maymont,Richmond,VA,56,9,True,True,False,True
venue_3c7834d294225c2f8f36bb97bf9f5f82,Stage AE,Pittsburgh,PA,54,19,True,True,False,True
venue_f012da93e7925a238190a10f699987ac,Union Transfer,Philadelphia,PA,54,18,True,True,False,True
venue_13ae77e0998b51fe8f273a43b9891cea,Vinyl,Atlanta,GA,54,19,True,True,False,True
venue_bf9c366eda9356549c09951f521f08e1,Coca-Cola Roxy,Atlanta,GA,53,21,True,True,False,True
venue_3d4c5ae6dbab587890ba323d49d5eba1,Capital One City Parks Foundation SummerStage,New York,NY,52,13,True,True,False,True
venue_6599aa7e92425066b253e4aa72187af5,Brooklyn Bowl Nashville,Nashville,TN,51,10,True,True,False,True
venue_5bad771f530354208af8f4e3893489ee,Allianz Amphitheater at Riverfront,Richmond,VA,49,16,True,True,False,True
venue_d55cfd177fe95e5eb75075bcebd02f3a,Ottobar,Baltimore,MD,48,9,True,True,False,True
